firstpost_date,content
10-03-2015,Loving my Apple Watch $AAPL http://t.co/c75QFoDSS3
04-03-2015,How buying Apple stock made these regular Americans rich: http://t.co/LKJigK2djS $AAPL http://t.co/61LHrpk6Xj
17-03-2015,Apple could price its proposed online TV service at $30 to $40 and launch in September http://t.co/YzqsaW53Le $AAPL
09-03-2015,"How Apple went from a ""niche"" stock to a juggernaut in 15 years: http://t.co/mzRLSIQj1j $AAPL http://t.co/TYrKSbSVox"
07-03-2015,Some banks are now making it tougher for customers to set up an Apple Pay account: http://t.co/b4UXoXH0Y1 $AAPL http://t.co/mtooks6vZo
09-03-2015,"How Apple went from a ""niche"" stock to a juggernaut in 15 years: http://t.co/MbRVE8TQM8 $AAPL"
10-03-2015,"Apple has sold 700 million iPhones, Tim Cook says. Live blog: http://t.co/SC9fQTBwFj $AAPL"
06-03-2015,BREAKING: #Apple to join Dow Industrials: CNBC $AAPL
17-03-2015,Apple is in talks to launch online TV service. $AAPL http://t.co/sLWPBbzxFu
10-03-2015,HBO unveiled a new trailer for #GameofThrones during Apple's event. Watch it here: http://t.co/ywtvDm9fou $AAPL http://t.co/yxAQSvL2xa
09-03-2015,Smartwatch pushes Apple into high-end fashion http://t.co/o12wRYrVm5 $AAPL http://t.co/HRMFP2tMpX
09-03-2015,Smartwatch pushes Apple into high-end fashion http://t.co/PHMicnB4bo $AAPL http://t.co/Dw6hXoTq6t
10-03-2015,The new MacBook is the first Apple computer to use a USB Type-C port: http://t.co/3RH8ks4vP9 $AAPL http://t.co/VHoeIv7Yyp
10-03-2015,Apple will be cable-free HBO Now's exclusive partner at launch: http://t.co/TSOAQo0gB6 $AAPL
06-03-2015,BREAKING: #Apple to replace AT&amp;T in Dow Industrials: CNBC $AAPL
11-03-2015,"It would take 2.5 years of Foxconn wages to pay for $10,000 Apple Watch: http://t.co/U5LPp6XtzB $AAPL http://t.co/fm8O9m3umy"
07-03-2015,"At long last, Dow gets a taste for Apple. http://t.co/MhmUgzJwKJ $AAPL http://t.co/8Q9Cqea6vL"
15-03-2015,Apple draws so many shoppers its stores single-handedly lift sales by 10% at the malls they operate in: http://t.co/YBiZLJyjqB $AAPL
16-03-2015,Apple draws so many shoppers its stores single-handedly lift sales by 10% at the malls they operate in: http://t.co/IbWVyHd43E $AAPL
02-03-2015,What would the Dow look like if it included #Apple? http://t.co/DtOnNjNGMt $AAPL http://t.co/wziHTidXRp
13-03-2015,Yes I was surprised and I can't believe he called in! $AAPL
11-03-2015,Apple draws so many shoppers its stores single-handedly lift sales by 10% at the malls they operate in: http://t.co/XwZgcUHT6T $AAPL
06-03-2015,Wall St. lower after payrolls; #Apple to join Dow: http://t.co/wTpfBHL9Qy $AAPL http://t.co/SD2HnM44Kj
04-03-2015,What would happen if #Apple joined the Dow? Data Dive: http://t.co/hVA7WDU4qb $AAPL http://t.co/Bq43tdqKKH
19-03-2015,How to turn your Apple Watch into an office: http://t.co/scz4ccPgfz $AAPL http://t.co/xxK9gTCsqc
09-03-2015,$AAPL--long knives out for the watch. Many people just getting ready to slam it.
