firstpost_date,content
02-03-2015,Google confirms plan to offer wireless service: http://t.co/bXS7wtzVMG $GOOG #MWC15
11-03-2015,"Google opens first Google-branded store, in London: http://t.co/7BRMElDu4t $GOOG http://t.co/L06H93Zwif"
07-03-2015,Google’s planned wireless service has a catch: it will only work on the latest Nexus smartphone. http://t.co/uhNM8cAR1l $GOOG
05-03-2015,"Yes, Google+ is a disappointment. But it still helped Google fight Facebook: http://t.co/DqDYOktB4T $GOOG $FB"
05-03-2015,Some of Silicon Valley’s biggest companies are on a real estate buying binge: http://t.co/e1fPBFGUVT $GOOG $APPL $FB http://t.co/u2N75o1poQ
05-03-2015,Google and Wal-Mart part ways over local shopping ads: http://t.co/sXg0oeSQEk $GOOG $WMT http://t.co/i3jK6FpoYo
20-03-2015,This chart breaks down the big gaps between the FTC staff on $GOOG and the FTC commissioners. http://t.co/g1iJbcEDJk http://t.co/cac8LgqcNi
10-03-2015,Virtual reality may not be a needle-mover for $FB and $GOOG but it sure is cool! http://t.co/wumkvjdytJ
11-03-2015,Why Google Wants to Help You Generate Your Own Electricity $GOOG http://t.co/ibftL4xNMr http://t.co/aSsU9R01H3
11-03-2015,Google CFO announces resignation on Google + which means it's not public information yet \ud83d\ude1c $goog http://t.co/xjOYFTXmX7
03-03-2015,$TWTR RUmor $GOOG to acquire 30% stake for $65/sh UNCONFIRMED CHATTER
12-03-2015,The blueprint so you can follow Google's CFO into early retirement: http://t.co/sHpoAllw1l $GOOG http://t.co/N0Ksbndh0t
10-03-2015,Google is investing in immortality. A must-see story and cover from @markets http://t.co/3mkp980rLS $GOOG $GOOGL http://t.co/oP5G7tPjfD
04-03-2015,Expert: Video Could Do For Twitter What YouTube Did For Google $GOOG $TWTR http://t.co/33Y7PCBRyo http://t.co/gpvO88xh8m
09-03-2015,Google Launching Virtual Reality for Android http://t.co/8xs00N9zL9 $GOOGL $GOOG #VR #tech http://t.co/T1FkakyuAS
11-03-2015,Google Accidentally Reveals 'Interactive Events' App In Play Store http://t.co/zN3MGCISL7 $GOOGL $GOOG #Android http://t.co/esfikzQVLx
20-03-2015,Google’s Eric Schmidt has said $GOOG's services are good for users and competition. http://t.co/t9hKDIR1tp via @WSJ http://t.co/4ivC61ZqnA
15-03-2015,"Google Flights Now Shows if You’ll have Wi-Fi, Power &amp; More http://t.co/zSSjVUUrWd $GOOGL $GOOG #Android #USA http://t.co/J6Xb0DQ8Rh"
11-03-2015,"Google Announces #Android 5.1 #Lollipop HD Voice, Multi-SIM, Device Protection http://t.co/NbLJpzuQpz $GOOGL $GOOG http://t.co/4UgWTrvXgT"
11-03-2015,"So the $goog cfo is retiring because he wants to go ""back-packing"". Fucking hipsters"
18-03-2015,the next wave of cord-cutters $AAPL $AMZN $GOOG $DISH http://t.co/AWXCulQRVs http://t.co/5WCILojuPP
04-03-2015,RT @CNBC: It's official: Google has confirmed plans to become a mobile operator » http://t.co/Lr5baGNa5v $GOOG
