company,date,ave_score,count
aapl,28/2/2015,2,2
aapl,1/3/2015,3.111111111,9
aapl,2/3/2015,2.666666667,21
aapl,3/3/2015,2.533333333,30
aapl,4/3/2015,2.5,40
aapl,5/3/2015,2.714285714,28
aapl,6/3/2015,1.813953488,86
aapl,7/3/2015,2,54
aapl,8/3/2015,2.133333333,15
aapl,9/3/2015,2.4,70
aapl,10/3/2015,2.331914894,235
aapl,11/3/2015,1.802816901,71
aapl,12/3/2015,2.588235294,34
aapl,13/3/2015,2.918918919,37
aapl,14/3/2015,2.709677419,31
aapl,15/3/2015,2.838709677,31
aapl,16/3/2015,2.322580645,31
aapl,17/3/2015,2.363636364,44
aapl,18/3/2015,2.755555556,45
aapl,19/3/2015,2.555555556,36
aapl,20/3/2015,2.666666667,24
aapl,21/3/2015,1.4,20
goog,24/2/2015,4,1
goog,26/2/2015,0,1
goog,1/3/2015,2.857142857,14
goog,2/3/2015,2.526315789,57
goog,3/3/2015,2.49122807,114
goog,4/3/2015,2.028169014,71
goog,5/3/2015,2.237288136,59
goog,6/3/2015,2.592592593,54
goog,7/3/2015,1.837837838,37
goog,8/3/2015,2.352941176,17
goog,9/3/2015,3,24
goog,10/3/2015,3.047619048,42
goog,11/3/2015,2.37037037,108
goog,12/3/2015,2.68852459,61
goog,13/3/2015,2.133333333,45
goog,14/3/2015,2.971428571,35
goog,15/3/2015,2.857142857,14
goog,16/3/2015,2,28
goog,17/3/2015,3.1,40
goog,18/3/2015,2.461538462,39
goog,19/3/2015,2.915254237,59
goog,20/3/2015,2.529411765,68
goog,21/3/2015,2.666666667,12
tsla,1/3/2015,4,5
tsla,2/3/2015,2.947368421,19
tsla,3/3/2015,2.125,64
tsla,4/3/2015,2.705882353,34
tsla,5/3/2015,2.571428571,28
tsla,6/3/2015,2.888888889,18
tsla,7/3/2015,2.553191489,47
tsla,8/3/2015,1.818181818,11
tsla,9/3/2015,2.5,32
tsla,10/3/2015,2.325581395,43
tsla,11/3/2015,2.8,40
tsla,12/3/2015,3,32
tsla,13/3/2015,2.763636364,55
tsla,14/3/2015,2.823529412,51
tsla,15/3/2015,3.259259259,54
tsla,16/3/2015,3.157894737,76
tsla,17/3/2015,2.583333333,96
tsla,18/3/2015,2.974358974,39
tsla,19/3/2015,2.695652174,92
tsla,20/3/2015,2.461538462,143
tsla,21/3/2015,2.2,20
twtr,1/3/2015,2.4,10
twtr,2/3/2015,3.294117647,34
twtr,3/3/2015,2.376811594,69
twtr,4/3/2015,2.229508197,61
twtr,5/3/2015,2.926829268,41
twtr,6/3/2015,2.48,50
twtr,7/3/2015,2.810810811,37
twtr,8/3/2015,3.238095238,21
twtr,9/3/2015,2.448979592,49
twtr,10/3/2015,2.6,60
twtr,11/3/2015,2.923076923,52
twtr,12/3/2015,2.382978723,47
twtr,13/3/2015,2.08,75
twtr,14/3/2015,2.181818182,33
twtr,15/3/2015,2.896551724,29
twtr,16/3/2015,2.19047619,42
twtr,17/3/2015,2.857142857,77
twtr,18/3/2015,2.325581395,43
twtr,19/3/2015,2.451612903,62
twtr,20/3/2015,2.588235294,85
twtr,21/3/2015,2.6,20
