firstpost_date,content
07-03-2015,"Fab piece, wish it were on http://t.co/HWTl9iX1D8! RT @EVplusEV: $TWTR Twitter Will Win, Period! And here is why: http://t.co/Az57qokMSA"
13-03-2015,"We took action on this $TWTR story. Maybe you should, too http://t.co/hGNSjAZUvr @DougKass"
21-03-2015,I am following all games on $TWTR real time I am not alone http://t.co/XQWXrU1UQ5 #MarchMadness
13-03-2015,.@JimCramer and @DougKass agree: Twitter is full of opportunities http://t.co/MqkkpLgmNl $TWTR http://t.co/wREM3Eynei
18-03-2015,"In case you were wondering &gt;&gt; ""Why Do #Twitter Followers Disappear? We Uncover It"" http://t.co/GL5KiRN3iy $TWTR http://t.co/TPtHabO0c5"
19-03-2015,"We like internet names in the charitable trust, $FB, $GOOGL, $TWTR—here’s the rationale, for free http://t.co/8QgYJ7APRP"
03-03-2015,I have tremendous faith that $TWTR will improve. Not much to day about it right now though. @docscott999
11-03-2015,30 signs you’re on financial Twitter http://t.co/upKaiKINHa via @ReformedBroker $TWTR http://t.co/pwFJ445sVB
09-03-2015,Why Twitter stock could double http://t.co/Gq3ff1B3CN via @OphirGottlieb $TWTR http://t.co/QoMggnM1r6
03-03-2015,$TWTR RUmor $GOOG to acquire 30% stake for $65/sh UNCONFIRMED CHATTER
07-03-2015,"""11 Tips for Job Seekers on #Twitter"" - Brand your bio - Diversify your tweets - Be engaging http://t.co/UCiMXadGPs #career #jobhunt $TWTR"
13-03-2015,Market valuing  Twitter without Periscope. My gut is Periscope a monster based on my #meerkat #Pericope use so far (long) $TWTR
17-03-2015,Why Twitter Is A Buy And Worth $61 Per Share $FB $TWTR http://t.co/CKHJvjWTiw
11-03-2015,I got to try periscope yesterday. Bought back some $twtr this morning :)
09-03-2015,"Twitter might not be a window into the soul, but it does tell us what we like to watch on TV, @nielsen finds. $TWTR http://t.co/fIJregGo54"
05-03-2015,Debating that for http://t.co/6nTRVpDkJM just now!  RT @JDR1024: @jimcramer Time to buy $TWTR now after recent 7% pullback from $50 level?
17-03-2015,Expect little short-term RT @docscott999: Took an initial position in $TWTR. Long term play. Agree with @jimcramer
10-03-2015,@JimCramer: 'All is Forgiven' at Twitter Now That It's Making Money http://t.co/GRUqopmTC2 via @TheStreet $TWTR #Stocks @DickC
04-03-2015,Expert: Video Could Do For Twitter What YouTube Did For Google $GOOG $TWTR http://t.co/33Y7PCBRyo http://t.co/gpvO88xh8m
06-03-2015,Here's what happens when:  NFPs crush estimates $AAPL joins the Dow Gene Munster talks $TWTR  Apologies. Fix coming. http://t.co/80XqugyGBE
17-03-2015,Truly The Best Advice EVER http://t.co/JfYQ1NW3Hy go $STUDY it $TWTR
16-03-2015,Well-reasoned RT @yalotrader: @jimcramer go $TWTR go
20-03-2015,...and there goes $TWTR.  chirp chirp
16-03-2015,"Earn $200,000 In 1 Day http://t.co/ywAFoTaDxN $STUDY $TWTR"
13-03-2015,RT @2morrowknight: 6 #Twitter Metrics to Measure for Customer Service http://t.co/v5fgRJoonh #TwitterAnalytics $TWTR /@SimplyMeasured http:…
18-03-2015,"Check out my new article in Businesweek http://t.co/3ltbCSMBhE they've definitely NEVER had a feature like this, enjoy it $FB $TWTR $LNKD"
13-03-2015,Why Twitter Is Becoming A 'Must Buy' For Advertisers http://t.co/G7DYV86eqV $TWTR $FB http://t.co/6rQMo2U0z7
12-03-2015,Beating back the Twitter bullies. My thoughts: http://t.co/U3XpZ8Ln7L #MandyMusings $TWTR
20-03-2015,$TWTR.  digested earnings gap very well by riding along 20 day MA.  Looks ready for a new leg higher http://t.co/kJ3iHmFbPA
19-03-2015,"With 300 million users, Instagram is now bigger than Twitter. $TWTR $FB"
02-03-2015,What Will Twitter Look Like On Google? $GOOG $GOOGL $TWTR http://t.co/ywEagayQ6X http://t.co/pUWXiToqtQ
17-03-2015,@jimcramer @DougKass Just doubled my $TWTR holdings. I can't imagine doing my job without this #essentialtool Chairman's Club
03-03-2015,How To Read A Stock Chart [INFOGRAPHIC] http://t.co/DW9QqYN5Jv go $STUDY $FB $TWTR
06-03-2015,#AskGeneMunster your questions on TODAY $AAPL $TWTR $FB $GOOG live @ 8:35 am ET http://t.co/46egcpPQxw http://t.co/D8K00dJGYx
09-03-2015,10 Ways To Trade Penny Stocks http://t.co/ZEnPK6MPyb learn 'em $FB $TWTR go $STUDY
05-03-2015,"Alibaba, GoPro, Twitter among some stock bubbles that have already popped http://t.co/dtlhIB5m6O $BABA, $GPRO, $TWTR http://t.co/Vd5wABULrh"
17-03-2015,"Retweet if you will make $1,000+ today my $TWTR $FB peeps, let's see who wants it badly enough!"
20-03-2015,$TWTR Breaking out of bull flag. $50 next level to watch... http://t.co/GifEY4sKD7
06-03-2015,Tomorrow you can #AskGeneMunster your questions on $AAPL $TWTR $FB $GOOG live @ 8:35 am ET http://t.co/V2lDWGLEXg http://t.co/xzgUEvZEmK
14-03-2015,GREAT FREE video of a live trading webinar http://t.co/ulLBbB8yyb my http://t.co/EcfUM6l2S3 students get 2-3x/week! Love it $FB $TWTR
16-03-2015,Why @DougKass is bullish on Twitter (and why @JimCramer agrees) http://t.co/fksKgIFzD8 $TWTR
12-03-2015,10 Ways To Trade Penny Stocks http://t.co/ZEnPK6MPyb learn $FB $TWTR go $STUDY
09-03-2015,"Retweet if you will make $1,000 or more this week $FB $TWTR $LNKD peeps, get that $!"
05-03-2015,$TWTR what a piece of trash! $FB LEADER ... Bull
19-03-2015,"TRUE!!! RT @JDR1024:  @dickc Jim, can you imagine how much higher $TWTR would go if they would just quit with the insider selling already?!"
07-03-2015,Would You Rather? #Tesla vs. #Twitter http://t.co/19V1DqIOI4 $TSLA $TWTR
13-03-2015,"Biz Stone: ""The great thing about Twitter is that there's so much room to grow...like the world's Bloomberg terminal"" @biz $TWTR"
16-03-2015,Verified Users A Potential Revenue Source For Twitter $TWTR  http://t.co/01EOeq2JPr http://t.co/mybwnJiDbK
08-03-2015,7 Secrets Of Success People http://t.co/0Qjf369h0Z shhhhh $TWTR $STUDY
14-03-2015,"Up late studying looking for http://t.co/GWKcbrENpY charts, it doesn't stop on the weekend when you want to be the best! $STUDY $FB $TWTR"
10-03-2015,Best Advice EVER http://t.co/JfYQ1NW3Hy go $STUDY it $TWTR
20-03-2015,Adding a little more Twitter ...I mean #periscope (but they better launch freaking soon ) $twtr
20-03-2015,$TWTR is back and ready for action !! Notes on chart. http://t.co/7CVCPcEkOD
20-03-2015,"http://t.co/mRQ7bXzqMk Gotta follow http://t.co/ZB6EtRjpli better, stay disciplined $TWTR peeps!"
07-03-2015,"Twitter Will Win, Period http://t.co/FqdVvKSQ8s $TWTR"
12-03-2015,The Secrets Of Success People http://t.co/0Qjf369h0Z shh $TWTR $STUDY
20-03-2015,"$TWTR, watch a breakout out of this consolidation pattern on the weekly chart. The stock is flagging nicely here. http://t.co/kVOinOjH5o"
13-03-2015,7 Things Millionaires Do Differently http://t.co/swLsvL3k3U learn $FB $TWTR $LNKD peeps!
03-03-2015,$TWTR racked in a nice amount of shorts there this last pop. Good fuel for fire coming these upcoming weeks
18-03-2015,The Best Article Ever Written About Pot Penny Stocks http://t.co/DGbTYPoIG5 read it repeatedly $FB $TWTR $LNKD peeps!
10-03-2015,RT @2morrowknight: Facebook and Twitter Embrace Web #Video -- With Very Different Visions http://t.co/jUKwbA4AIs $FB $TWTR /@WebLoriKeam ht…
04-03-2015,"Pretty awesome that some http://t.co/EcfUM63rtt students are still short $GENE from the $8s and $9s, now $5ish, GREAT patience! LEARN $TWTR"
12-03-2015,Why I am taking off my $TWTR hedge and reestablishing long now up on RealMoneyPro TWTR has been on my Best Ideas List since 12/10/2014 $37
13-03-2015,"New input RT @Gazm06: @jimcramer $TWTR is a 3 on AAP but your saying buy, when do you update AAP numbers?"
04-03-2015,longs and shorts all over this $TRUE -any thoughts from the $TWTR gallery ??
09-03-2015,http://t.co/H6braH5O7w NICE $800 profit http://t.co/NSYmqodwaM style growing my http://t.co/HuwESff8y9 accounts $TWTR $STUDY
09-03-2015,"Why Twitter Is Worth $67 Per Share, According To JP Morgan $FB $TWTR http://t.co/GtuGmJoTiH"
02-03-2015,My best tips for success http://t.co/VXTKg0MbK8 memorize it $TWTR
12-03-2015,"Now Up on  Real Money Pro: ""How Tweet It Is""  $TWTR   https://t.co/EAKNPG79BM"
04-03-2015,Twitter has syndicated audience of 700M monthly people. First time reveal from @anthonynoto $TWTR
21-03-2015,$TWTR close: 48.44
08-03-2015,"The Best Video I've Ever Made http://t.co/MiLvmwxLah enjoy it $FB $TWTR $LNKD peeps, get inspired &amp; study your arses off!"
10-03-2015,"Early movers: $QCOM, $CS, $URBN, $SWKS, $TWTR &amp; more http://t.co/MjEKckL3NT"
01-03-2015,"RT @2morrowknight: ""#Twitter will start tracking phone numbers to prevent its worst users from creating new accounts"" (Verge) http://t.co/1…"
17-03-2015,SPOTTED: 1st time we've seen Apple's @AppStore advertising on @Twitter $TWTR - nice win @adambain http://t.co/SUQYcLMOkN
13-03-2015,There are 284 million monthly active users on Twitter. $TWTR
05-03-2015,"WATCH 5 new FREE videos on https://t.co/AcxSN7Z2HL the past 5 days, go watch &amp; enjoy $FB $TWTR $LNKD $STUDY"
07-03-2015,Special deal for my valued $TWTR peeps enjoy http://t.co/SqXgbdtICm &amp; http://t.co/SKdarBuL7k my bestselling book FOR FREE shhh $STUDY
11-03-2015,See My Tips For Success http://t.co/VXTKg0MbK8 enjoy it $FB $TWTR
14-03-2015,"I'm SO excited to see what this great man can do http://t.co/rAbRDP2ln4 with trading stocks, I think quite a bit $FB $TWTR peeps"
13-03-2015,RT @2morrowknight: The Ultimate Social Media Image and #Video Size Guide: http://t.co/bGgyJKqJkX #smwbangalore #smwf $TWTR http://t.co/UZBW…
07-03-2015,My Top Tips For Success http://t.co/VXTKg0MbK8 enjoy it $FB $TWTR
15-03-2015,"SO many NFL/NBA stars are LOVING this idea http://t.co/6T3yIwk0jN we're just at the beginning, get inspired $FB $TWTR $LNKD peeps!"
12-03-2015,http://t.co/lEGdnfxie0 When in doubt get out http://t.co/ZB6EtRjpli stay safe $FB $TWTR peeps!
14-03-2015,Study Shows Brands Now Use #Instagram More Than Facebook $FB $TWTR http://t.co/ayo3wpIvGu http://t.co/NOqgYKsBP8
12-03-2015,The Best Case For Any Trader http://t.co/tKz3UsTIpS good to know right $FB $TWTR
06-03-2015,I analyzed $AAPL $NFLX $TWTR and much more in my video market recap from earlier: http://t.co/v82rbEmiLH $SPY $UGAZ
13-03-2015,"TheStreet's Jim ""El Capitan"" Cramer on $TWTR http://t.co/X0RmzbQ52f"
08-03-2015,Best Case For Any Trader http://t.co/tKz3UsTIpS good to know right $FB $TWTR
10-03-2015,"Watching this pumps me up premarket every day https://t.co/P6xkMpW3Ik get inspired $FB $TWTR $LNKD peeps, work your ass off to BANK today!"
12-03-2015,"Twitter Trying To Tighten Up Security On 'Revenge Porn,' Offensive Tweets $TWTR http://t.co/XmgOSkNatJ"
17-03-2015,See FREE video of a live trading webinar http://t.co/ulLBbB8yyb my http://t.co/EcfUM6l2S3 students get 2-3x/week! Love it $FB $TWTR
19-03-2015,RT @OpenOutcrier: $TWTR activist chatter
06-03-2015,"ANYONE can do this http://t.co/H7Errwc2V7 with enough hard work, follow these 5 steps http://t.co/2z3SmKT5gk pay attention $TWTR"
14-03-2015,"From Real Money Pro and Tumblr:  ""How Tweet It Is"" $TWTR  http://t.co/5O5kcej0Wa"
05-03-2015,"http://t.co/Iwhg1tdLGx New http://t.co/e6WZUKD6Hd trade alert, learn the rules http://t.co/ZB6EtRjpli $FB $TWTR peeps!"
18-03-2015,$IBM brings much needed analytics to Twitter http://t.co/06MS3gxmfw $TWTR
17-03-2015,Would you pay for a Little Blue Check Mark? http://t.co/ZjTVpj7xr8 $TWTR http://t.co/lns6M98ldm
13-03-2015,"The Next Superstar Trader? https://t.co/4m77oyQWkC you decide $FB $TWTR $LNKD he's already proven himself in one field, now onto the next!"
05-03-2015,It's only a TOS violation to have multiple accounts if you use them to harass others like libtards do #tcot #ocra @Support @dickc @wsj $TWTR
08-03-2015,I LOVED doing this https://t.co/JmOnOAViKV be positive in 2015 $FB $TWTR $LNKD peeps! Go $STUDY
19-03-2015,When Justin Bieber's company sent me a cease &amp; desist letter: http://t.co/M7Nv7GltbX bring it on celebrities! $STUDY $TWTR
05-03-2015,I LOVED doing this https://t.co/JmOnOAViKV great to be positive in 2015 $FB $TWTR $LNKD peeps! Go $STUDY
15-03-2015,Which promoter is worse http://t.co/tit6qyMpOY or http://t.co/AGastLBsR0 you tell me $FB $TWTR $LNKD peeps $STUDY
03-03-2015,"http://t.co/apfxIMp9ss Final http://t.co/fljCJMRjtQ alert today, learn the patterns $FB $TWTR $STUDY"
09-03-2015,Nobody Truly Wants To Own This Market http://t.co/0nA3qc5UTT $FB $TWTR $SPY
04-03-2015,8. $TWTR another mo name the chart chasers pinned on the highs and go crickets on red
21-03-2015,AWESOME http://t.co/fljCJMRjtQ student trade PrematureTrilli: covered all my shares of $CNDO from 5.10 to 3.93 riding the wave $STUDY $TWTR
10-03-2015,Watched my 15-17 year old kids and their friends complain about snapchat new feature sets and want the old app ... It was funny $snap $twtr
12-03-2015,Twitter $TWTR Gains on 'Big Pick-Up' in Ad Dollars http://t.co/XHOrW7FWtV
15-03-2015,Europe: More Economic Trouble in 2015 http://t.co/3UrqcVukSo $FB $TWTR $LNKD http://t.co/40Nd4fgSr1
09-03-2015,Prem Watsa: Massive Bubble In Private &amp; Public Tech Firms http://t.co/tVdlvVnPbl $TWTR $NFLX $YELP $LNKD $FB $CRM http://t.co/LzemKfTAps
15-03-2015,SO important to understand these concepts https://t.co/XnAA6LHznh enjoy this free video $FB $TWTR $LNKD peeps!
01-03-2015,MUST WATCH VIDEO for all traders on $FB $TWTR $LNKD peeps http://t.co/hkjzmw8vUL gotta $STUDY it closely
12-03-2015,Integration With Google Sets Up Twitter For A Strong 2015 http://t.co/U29RPat6wN $GOOG #GOOGLE $GOOGL $TWTR
10-03-2015,The Best Email I Ever Received http://t.co/NyRvzLqkhH get inspired $FB $TWTR $LNKD peeps!
19-03-2015,$TWTR The BIG picture. Looks like it wants to clear this DT very soon. http://t.co/z3faBdRByI
15-03-2015,interesting times for Meerkat + Twitter $TWTR http://t.co/jrvG9Tju9x http://t.co/fXZyTPypyo
